6.0;0.0;465355.76042857143;0.0;0;12795;0;-12795
12.0;0.34375;465355.76042857143;14.519281348454257;0;0;0;0
18.0;2.96875;426088.6814285715;110.51487567157183;0;0;0;0
24.0;7.265625;410317.23628571443;172.97820921221904;0;0;0;0
30.0;10.328125;374205.9028571431;277.5582479902576;0;0;0;0
36.0;12.15625;293966.20814285724;236.85828840560112;0;0;0;0
42.0;20.46875;276048.796;18.057101304248476;0;0;0;0
48.0;16.515625;263958.40885714284;-1956.8785111927482;0;0;0;0
54.0;17.640625;267249.8458571429;-3587.5140306367393;0;0;0;0
60.0;16.46875;297634.31085714296;-3622.8485159627216;0;0;0;0
66.0;18.375;306059.0088571428;-2217.3834764242765;846;128;0;718
72.0;15.546875;329114.51542857155;-1310.1374692950703;681;76;0;605
78.0;14.90625;314922.42114285723;-579.2394631773222;600;38;0;562
84.0;13.0;329080.6685714286;-403.74547893016097;627;25;0;602
90.0;17.046875;316940.3951428573;-424.5279499939061;577;36;0;541
96.0;16.9375;316383.1895714287;-1290.6609980790709;600;71;0;529
102.0;17.234375;299377.2181428573;-1437.1883487921205;662;86;0;576
108.0;17.890625;297364.94171428576;-1973.239792761362;751;126;0;625
114.0;17.796875;277049.8772857143;-2882.1202078372808;887;133;0;754
120.0;13.03125;274309.4467142857;-2429.943801298996;723;122;0;601
126.0;9.578125;304502.5285714286;-1383.7696723527733;646;60;0;586
132.0;8.046875;320883.9191428573;-553.8947971782763;559;9;0;550
138.0;4.65625;340701.59071428585;-485.53393224411775;403;9;0;394
144.0;6.0;315670.55728571437;-301.0318173788146;475;15;0;460
150.0;4.5;331622.36771428585;-788.2347127821995;463;31;0;432
156.0;7.1875;299856.02300000016;-280.4880054603709;594;19;0;575
162.0;6.4375;301576.38685714296;-1592.6692436063568;672;108;0;564
168.0;8.796875;290126.9051428573;-1550.307404815485;803;106;0;697
174.0;9.328125;298621.01700000005;-2935.542768736803;919;177;0;742
180.0;8.59375;301791.5631428572;-2405.707904517192;927;126;0;801
186.0;8.734375;306400.19257142866;-1361.628928171136;977;96;0;881
192.0;9.53125;329648.3447142857;33.44936767675972;1067;8;0;1059
198.0;7.703125;332442.50957142864;-258.9340213855612;897;42;0;855
204.0;6.5625;318748.83614285715;-315.8239070584241;830;45;0;785
210.0;8.4375;351949.6175714287;-515.0306528235087;749;33;0;716
216.0;10.34375;307848.31885714293;-309.7822678550656;714;48;0;666
222.0;10.59375;294959.8608571429;-1836.7011264636167;629;141;0;488
228.0;13.21875;270273.9335714287;-2677.1978204243715;623;172;0;451
234.0;18.5;267199.11214285716;-2344.99218941461;761;148;0;613
240.0;17.0;255045.78842857134;-2782.957178553763;617;110;0;507
246.0;16.875;283851.7362857143;-1437.7332572834712;587;59;0;528
252.0;17.546875;306121.0598571428;-1661.4630823785337;520;57;0;463
258.0;20.796875;348558.1101428573;-348.83688119606086;610;8;0;602
264.0;19.890625;311318.8884285715;-832.4639493338618;642;58;0;584
270.0;21.84375;298378.69500000007;-1354.8140749491358;660;71;0;589
276.0;18.484375;333628.0965714287;-1524.9422838214523;622;87;0;535
282.0;15.734375;320435.9854285715;-2238.96909499116;661;114;0;547
288.0;14.90625;256894.03242857146;-1934.8070931777547;712;131;0;581
294.0;12.890625;264385.00757142866;-3333.321981710542;716;175;0;541
300.0;9.515625;305288.7178571429;-3393.597441577527;636;183;0;453
306.0;7.328125;330656.8277142858;-1369.6689276509278;702;92;0;610
312.0;4.421875;326702.8535714287;-444.4461078187014;655;22;0;633
318.0;6.125;346078.2641428572;283.8366814554902;748;6;0;742
324.0;6.09375;341256.70271428576;-304.50374161990476;807;52;0;755
330.0;5.1875;315711.8377142858;-785.46528912551;776;97;0;679
336.0;8.3125;293880.39485714294;-1239.4870976029779;885;129;0;756
342.0;10.296875;316521.36585714296;-1942.0311793800938;990;128;0;862
348.0;10.75;275990.0487142858;-2599.4504904607456;905;187;0;718
354.0;11.03125;312142.9652857143;-3181.0707828639424;831;199;0;632
360.0;9.265625;306468.9172857144;-2408.282722523072;689;143;0;546
