6.0;0.0;465355.76042857143;0.0;0;1103;0;-1103
12.0;0.5625;459228.718;7.940918419152084;0;0;0;0
18.0;4.515625;438726.5420000001;80.87442899076645;0;0;0;0
24.0;8.671875;376836.2382857144;110.0208186678922;0;0;0;0
30.0;16.578125;362866.4637142859;-24.726744026595412;0;9;0;-9
36.0;22.234375;378423.13671428576;-599.3776020032519;0;65;0;-65
42.0;24.09375;320701.61028571444;-3324.652116114645;0;331;0;-331
48.0;26.796875;308702.76142857154;-3002.8929434118136;0;292;0;-292
54.0;27.25;289184.5277142858;-3407.680781533889;0;327;0;-327
60.0;29.609375;305517.6272857145;-2703.075099618696;0;256;0;-256
66.0;26.6875;334872.13214285724;-2814.3172899749425;752;261;0;491
72.0;27.671875;341277.1064285716;-486.2612986825043;750;26;0;724
78.0;28.140625;373020.0605714287;-694.5333563724689;655;45;0;610
84.0;25.03125;322129.02400000003;-445.517655679123;630;11;0;619
90.0;26.15625;342914.0141428572;-362.3357055253837;640;7;0;633
96.0;29.8125;313814.0054285715;-440.28072469604376;708;7;0;701
102.0;29.265625;295492.35785714304;-428.9231730599313;837;3;0;834
108.0;36.546875;266626.5867142857;-1423.8736440055327;928;101;0;827
114.0;35.625;285270.15357142856;-2638.9784905945344;889;211;0;678
120.0;34.21875;322097.2280000002;-1045.2275804591154;923;48;0;875
126.0;29.296875;324539.260857143;-1033.0617941235978;736;44;0;692
132.0;24.8125;348410.10971428576;-735.2492911652735;577;27;0;550
138.0;20.484375;349003.7041428573;-429.58259925135644;510;1;0;509
144.0;13.921875;367044.1635714288;-393.1060482632711;469;0;0;469
150.0;11.21875;318663.35871428583;-249.29058524587526;466;0;0;466
156.0;11.828125;350470.56800000014;-158.46008482480102;574;0;0;574
162.0;8.46875;322211.3757142858;-195.52632793590965;784;0;0;784
168.0;12.3125;307200.6437142859;-48.23327668394268;1028;0;0;1028
174.0;15.53125;262847.292;-91.46065875894783;1194;0;0;1194
180.0;19.703125;272564.38328571443;-200.9840278240299;1193;5;0;1188
186.0;17.03125;350085.8061428573;-2316.3201250566162;885;215;0;670
192.0;16.21875;373179.7931428573;-1290.138192264094;986;134;0;852
198.0;17.203125;337952.9350000002;-793.5621468277786;865;86;0;779
204.0;20.5625;380798.3532857144;-1451.5710750989674;769;137;0;632
210.0;21.0;377255.7575714288;-800.9049488304518;784;73;0;711
216.0;23.671875;358618.22028571443;-853.2891356571781;756;72;0;684
222.0;24.390625;299808.92671428586;-705.8223905191917;780;45;0;735
228.0;26.90625;287338.6814285715;-840.5961476371231;876;47;0;829
234.0;26.609375;279822.04328571435;-1651.4567237054653;820;120;0;700
240.0;26.796875;298106.36557142873;-1030.9089216324282;735;52;0;683
246.0;28.125;328066.74514285725;-696.008289536825;746;20;0;726
252.0;33.15625;335796.5891428574;-621.2636067266503;693;22;0;671
258.0;31.796875;362949.7381428573;-944.1132016961856;577;53;0;524
264.0;34.40625;343146.99257142865;-752.3923899999863;667;38;0;629
270.0;33.578125;311815.55214285734;-1358.373595333709;648;95;0;553
276.0;35.890625;302230.4454285716;-1347.6231605198118;655;92;0;563
282.0;34.953125;292352.0470000001;-878.513614010888;791;47;0;744
288.0;34.984375;317439.7851428571;-2236.1515537950254;738;180;0;558
294.0;31.171875;344114.6672857143;-2292.954551228977;753;180;0;573
300.0;26.5;320647.0905714287;-1307.7643002846453;777;84;0;693
306.0;22.71875;318197.7632857145;-244.5996799426939;777;1;0;776
312.0;17.5;329041.37928571436;-175.93905641951278;752;0;0;752
318.0;15.484375;378721.1832857145;23.95224746561871;788;0;0;788
324.0;14.34375;388322.47814285726;-1121.9518414177874;785;123;0;662
330.0;18.328125;369441.72128571436;-4.523881355809863;876;20;0;856
336.0;21.609375;350676.81828571437;-1536.0830049100987;950;150;0;800
342.0;28.515625;332503.8647142859;-1074.3434327910072;1062;102;0;960
348.0;29.765625;306409.8005714287;-1731.4193941394988;1104;149;0;955
354.0;26.796875;344140.95642857155;-3007.7912745362555;866;253;0;613
360.0;23.84375;302199.9612857144;-1277.4214136377923;870;84;0;786
366.0;19.5625;307822.6857142858;-716.9455911824261;660;26;0;634
372.0;13.59375;343303.5452857145;-457.99061834621534;485;0;0;485
378.0;10.34375;353924.4440000002;-361.25647848376684;416;0;0;416
384.0;10.875;340264.8641428572;-209.4890348140034;483;0;0;483
390.0;10.921875;313489.98585714295;-220.47877800483548;532;0;0;532
