6.0;0.0;465355.76042857143;0.0;0;5316;0;-5316
12.0;0.40625;453101.6755714286;8.737631473138205;0;0;0;0
18.0;4.421875;422230.3597142859;79.02050497163556;0;0;0;0
24.0;10.59375;398455.5142857145;-479.027184298437;0;58;0;-58
30.0;16.5625;328649.2001428572;-20.871984040288282;0;7;0;-7
36.0;22.953125;309715.73471428576;-683.7847168156422;0;54;0;-54
42.0;23.53125;325687.22800000006;-555.644691939648;0;33;0;-33
48.0;33.3125;282585.67671428574;-2956.4619731698936;0;142;0;-142
54.0;35.59375;267270.3827142858;-3761.614423855468;0;157;0;-157
60.0;38.78125;269116.5772857143;-3140.530078068359;0;83;0;-83
66.0;27.671875;288865.2455714286;-2633.674218529577;816;106;0;710
72.0;17.15625;332040.57600000006;-2768.245816202958;611;153;0;458
78.0;17.25;330748.1514285716;-1523.4457207272426;593;67;0;526
84.0;13.78125;353292.8614285716;-1167.5126260203142;515;53;0;462
90.0;16.3125;347172.2657142858;-711.0650399276019;523;39;0;484
96.0;16.9375;298678.28328571434;-915.4264505811952;612;72;0;540
102.0;17.84375;330410.7585714287;-1240.5056852415582;604;93;0;511
108.0;25.890625;245031.39857142852;-2284.6227271974094;776;147;0;629
114.0;31.953125;251304.263;-2760.4196778093064;959;111;0;848
120.0;30.390625;291128.0480000002;-3652.489858014571;682;234;0;448
126.0;24.828125;271952.83142857143;-2199.790138965316;698;98;0;600
132.0;14.890625;308000.9335714287;-1423.5651307359294;606;20;0;586
138.0;11.40625;311701.8754285715;-645.0433887807158;501;3;0;498
144.0;6.765625;369644.3162857144;-331.33313770993846;406;0;0;406
150.0;6.875;349250.9880000002;-233.08212136376096;440;0;0;440
156.0;6.5;330087.37285714294;-111.01293588681438;614;0;0;614
162.0;7.390625;301683.7815714287;38.09505664140306;748;0;0;748
168.0;9.5625;264352.702;-78.35978741342115;951;25;0;926
174.0;11.703125;296546.81028571445;-1753.5467250566435;1010;114;0;896
180.0;15.484375;286810.95028571435;-1784.7165216704889;1030;105;0;925
186.0;22.53125;295507.53742857155;-1967.2504025773887;1006;124;0;882
192.0;19.203125;333746.5681428573;-1520.776561264065;970;100;0;870
